Category,Prefix
Articles Amendment,Articles
Asset Acquisition Approval,Asset
Asset Lease Approval,Asset
Asset Purchase Approval,Asset
Asset Sale Approval,Asset
Auditors Appointment,Auditors
Auditors Reappointment,Auditors
Auditors Remuneration,Auditors
Board Reconstitution,Board
Board Report Adoption,Board
Bonus Share Issuance,Bonus
Borrowing Authorization,Borrowing
Budget Approval,Budget
Business Acquisition Approval,Business
Business Approval,Business
Business Closure,Business
CSR Approval,CSR
Capital Allocation Revision,Capital
Capital Increase,Capital
Capital Increase Cancellation,Capital
Capital Reallocation,Capital
Capital Reduction,Capital
Capital Restructuring,Capital
Chairman Appointment,Chairman
Charge Creation,Charge
Committee Appointment,Committee
Committee Reappointment,Committee
Compliance Ratification,Compliance
Contract Approval,Contract
Corporate Guarantee Approval,Corporate
Council Election,Council
Debenture Delisting,Debenture
Debt Delisting,Debt
Debt Equity Conversion,Debt
Debt Issuance,Debt
Debt Redemption,Debt
Demerger Approval,Demerger
Deposit Acceptance,Deposit
Deposit Scheme Closure,Deposit
Designation Change,Designation
Director Appointment,Director
Director Appointment Variation,Director
Director Compensation,Director
Director Continuation,Director
Director Designation,Director
Director Designation Change,Director
Director Reappointment,Director
Director Reclassification,Director
Director Redesignation,Director
Director Removal,Director
Director Retirement,Director
Director Terms Variation,Director
Dividend Approval,Dividend
Document Fee Approval,Document
ESG Commitment,ESG
ESOP Approval,ESOP
Executive Appointment,Executive
Executive Compensation,Executive
Executive Director Appointment,Executive
Executive Reappointment,Executive
Fee Approval,Fee
Financial Limit Enhancement,Financial
Financial Statement Adoption,Financial
Financial Statement Approval,Financial
Foreign Ownership Cap,Foreign
Forfeited Share Cancellation,Forfeited
Fund Reallocation,Fund
Fund Utilization Change,Fund
Fund Utilization Extension,Fund
Fundraising Authorization,Fundraising
Fundraising Increase,Fundraising
Funds Utilization Variation,Funds
General Business,General
Governance Rights Grant,Governance
Grant Acceptance,Grant
Guarantee Authorization,Guarantee
Independent Director Appointment,Independent
Independent Director Compensation,Independent
Independent Director Reappointment,Independent
Insolvency Approval,Insolvency
Insolvency Initiation,Insolvency
Internal Audit Appointment,Internal
Investment Approval,Investment
Issue Object Modification,Issue
Issue Object Variation,Issue
Liquidator Appointment,Liquidator
Listing Approval,Listing
Loan Authorization,Loan
Manager Appointment,Manager
Manager Reappointment,Manager
Managing Director Appointment,Managing
Meeting Adjournment,Meeting
Meeting Rescheduling,Meeting
Memorandum Adoption,Memorandum
Memorandum Amendment,Memorandum
Merger Approval,Merger
Name Change Approval,Name
Not specified,Not
Notice Amendment,Notice
Object Amendment,Object
Object Clause Amendment,Object
Objects Amendment,Objects
Objects Clause Amendment,Objects
Philanthropy Authorization,Philanthropy
Policy Adoption,Policy
Power Delegation,Power
Preference Share Redemption,Preference
Proceeds Reallocation,Proceeds
Proceeds Utilisation Revision,Proceeds
Proceeds Utilization Amendment,Proceeds
Promoter Reclassification,Promoter
Redemption Terms Amendment,Redemption
Register Location Approval,Register
Register Maintenance,Register
Register Maintenance Approval,Register
Registered Address Change,Registered
Registered Office Change,Registered
Registered Office Relocation,Registered
Registered Office Shift,Registered
Regulation Amendment,Regulation
Related Party Approval,Related
Remuneration Confirmation,Remuneration
Remuneration Revision,Remuneration
Remuneration Waiver,Remuneration
Report Adoption,Report
Resolution Ratification,Resolution
Resolution Rescission,Resolution
Resolution Revocation,Resolution
Rights Issue Variation,Rights
Royalty Approval,Royalty
Securities Issuance,Securities
Share Buyback,Share
Share Issuance,Share
Share Reclassification,Share
Share Split,Share
Share Split Approval,Share
Share Subdivision,Share
Shareholder Reclassification,Shareholder
Shareholder Rights Variation,Shareholder
Shareholding Reclassification,Shareholding
Special Rights Approval,Special
Stock Option Approval,Stock
Stock Option Cancellation,Stock
Stock Split,Stock
Subsidiary Divestment,Subsidiary
Subsidiary Establishment,Subsidiary
Tariff Approval,Tariff
Valuation Report Adoption,Valuation
Valuation Report Approval,Valuation
Valuer Appointment,Valuer
Voluntary Delisting,Voluntary
Voting Authorization,Voting
Welfare Scheme Approval,Welfare
